[ 2024-03-18 11:05:09,123 ] 96 werkzeug - WARNING -  * Debugger is active!
[ 2024-03-18 11:05:09,127 ] 96 werkzeug - INFO -  * Debugger PIN: 419-739-234
[ 2024-03-18 11:05:34,637 ] 19 root - INFO - Starting re - training
[ 2024-03-18 11:05:34,637 ] 21 root - INFO - Data Ingestion methods starts
[ 2024-03-18 11:05:34,643 ] 24 root - INFO - Dataset read as dataframe
[ 2024-03-18 11:05:34,651 ] 30 root - INFO - Train test split
[ 2024-03-18 11:05:34,664 ] 36 root - INFO - Ingestion of the data is completed
[ 2024-03-18 11:05:34,685 ] 35 root - INFO - Transformation of the data is started
[ 2024-03-18 11:05:34,713 ] 43 root - INFO - Transformation of the data is completed
[ 2024-03-18 11:05:34,728 ] 62 root - INFO - Initializing PyCaret setup
[ 2024-03-18 11:05:37,425 ] 1026 httpx - INFO - HTTP Request: GET https://api.gradio.app/gradio-messaging/en "HTTP/1.1 200 OK"
[ 2024-03-18 11:05:38,189 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\file_explorer.py', reloading
[ 2024-03-18 11:05:38,212 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\gallery.py', reloading
[ 2024-03-18 11:05:38,230 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\highlighted_text.py', reloading
[ 2024-03-18 11:05:38,244 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\html.py', reloading
[ 2024-03-18 11:05:38,261 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\image.py', reloading
[ 2024-03-18 11:05:38,286 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\image_editor.py', reloading
[ 2024-03-18 11:05:38,306 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\json_component.py', reloading
[ 2024-03-18 11:05:38,326 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\label.py', reloading
[ 2024-03-18 11:05:38,345 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\line_plot.py', reloading
[ 2024-03-18 11:05:38,359 ] 96 werkzeug - INFO -  * Detected change in 'C:\\Users\\jesus\\anaconda3\\envs\\personal_projects\\Lib\\site-packages\\gradio\\components\\login_button.py', reloading
